College Name,NIRF Rank,Rating,Ownership,Fees,Admission Link,Placement Link,Courses Link,Facilities Link
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",37,4.3/5,Private,"Fees :  ₹14.91 Lakhs, Fees :  ₹5.51 Lakhs",https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar/admission,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar/placement,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar/courses,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar/facilities
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",38,4.2/5,Private,Fees :  ₹7.53 Lakhs,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur/admission,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur/placement,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur/courses,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur/facilities
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,39,4.2/5,Public/Government,Fees :  ₹2.17 Lakhs,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur/admission,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur/placement,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur/courses,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur/facilities
NIT Silchar - National Institute of Technology Silchar,40,4.3/5,Public/Government,"Fees :  ₹2.26 Lakhs, Fees :  ₹6.00 Lakhs",https://www.careers360.com/university/national-institute-of-technology-silchar/admission,https://www.careers360.com/university/national-institute-of-technology-silchar/placement,https://www.careers360.com/university/national-institute-of-technology-silchar/courses,https://www.careers360.com/university/national-institute-of-technology-silchar/facilities
"ICT Mumbai - Institute of Chemical Technology, Mumbai",41,4.5/5,Public/Government,Fees :  ₹3.89 Lakhs,https://www.careers360.com/university/institute-of-chemical-technology-mumbai/admission,https://www.careers360.com/university/institute-of-chemical-technology-mumbai/placement,https://www.careers360.com/university/institute-of-chemical-technology-mumbai/courses,https://www.careers360.com/university/institute-of-chemical-technology-mumbai/facilities
"UPES Dehradun - UPES, Dehradun",42,4.1/5,Private,"Fees :  ₹17.40 Lakhs  - ₹24.37 Lakhs, Fees :  ₹3.09 Lakhs  - ₹7.27 Lakhs",https://www.careers360.com/university/upes-dehradun/admission,https://www.careers360.com/university/upes-dehradun/placement,https://www.careers360.com/university/upes-dehradun/courses,https://www.careers360.com/university/upes-dehradun/facilities
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,43,4.3/5,Public/Government,Fees :  ₹1.98 Lakhs,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur/admission,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur/placement,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur/courses,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur/facilities
NIT Durgapur - National Institute of Technology Durgapur,44,4.1/5,Public/Government,"Fees :  ₹3.14 Lakhs, Fees :  ₹6.25 Lakhs",https://www.careers360.com/university/national-institute-of-technology-durgapur/admission,https://www.careers360.com/university/national-institute-of-technology-durgapur/placement,https://www.careers360.com/university/national-institute-of-technology-durgapur/courses,https://www.careers360.com/university/national-institute-of-technology-durgapur/facilities
NIT Delhi - National Institute of Technology Delhi,45,4.0/5,Public/Government,"Fees :  ₹2.28 Lakhs, Fees :  ₹6.58 Lakhs",https://www.careers360.com/university/national-institute-of-technology-delhi/admission,https://www.careers360.com/university/national-institute-of-technology-delhi/placement,https://www.careers360.com/university/national-institute-of-technology-delhi/courses,https://www.careers360.com/university/national-institute-of-technology-delhi/facilities
"SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",46,4.6/5,Private,"Fees :  ₹1.20 Lakhs, Fees :  ₹2 Lakhs",https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam/admission,https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam/placement,https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam/courses,https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam/facilities
"IIIT Hyderabad - International Institute of Information Technology, Hyderabad",47,4.5/5,Private,Fees :  ₹16 Lakhs  - ₹20 Lakhs,https://www.careers360.com/university/international-institute-of-information-technology-hyderabad/admission,https://www.careers360.com/university/international-institute-of-information-technology-hyderabad/placement,https://www.careers360.com/university/international-institute-of-information-technology-hyderabad/courses,https://www.careers360.com/university/international-institute-of-information-technology-hyderabad/facilities
"BIT Mesra - Birla Institute of Technology, Mesra",48,4.2/5,Private,Fees :  ₹3.39 Lakhs  - ₹5.29 Lakhs,https://www.careers360.com/university/birla-institute-of-technology-mesra/admission,https://www.careers360.com/university/birla-institute-of-technology-mesra/placement,https://www.careers360.com/university/birla-institute-of-technology-mesra/courses,https://www.careers360.com/university/birla-institute-of-technology-mesra/facilities
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,49,4.3/5,Public/Government,Fees :  ₹1.61 Lakhs  - ₹1.70 Lakhs,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur/admission,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur/placement,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur/courses,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur/facilities
"LPU Jalandhar - Lovely Professional University, Phagwara",50,4.4/5,Private,"Fees :  ₹4.50 Lakhs  - ₹16 Lakhs, Fees :  ₹3.20 Lakhs  - ₹4 Lakhs",https://www.careers360.com/university/lovely-professional-university-phagwara/admission,https://www.careers360.com/university/lovely-professional-university-phagwara/placement,https://www.careers360.com/university/lovely-professional-university-phagwara/courses,https://www.careers360.com/university/lovely-professional-university-phagwara/facilities
